23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
01:24:17.888020 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:22.889674 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:27.889950 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:32.890732 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:37.891774 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:24:42.892615 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:25:50.604833 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:25:55.603924 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:00.604556 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:05.605083 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:10.606032 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:15.606104 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:20.607133 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:25.608201 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:30.608736 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:35.608491 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:40.609418 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:45.609241 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:50.610432 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:26:55.610121 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:00.611874 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:05.611790 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
